"source","target","weight"
MaraMor57456446,STF_oficial,72
nadia_patria,SenadoFederal,72
Elizabe55395245,exercitooficial,72
FelicianoGlauco,STF_oficial,72
RevOrlandoCarr,STF_oficial,72
CBeringhs,ClaudioBeringhs,72
dalmyrjmb,MPF_PGR,72
marcioprodutor2,STF_oficial,71
PMorenoB,Gen_VillasBoas,71
ardnas440,jairbolsonaro,71
HildaDeSouzaMa1,STF_oficial,71
BetoFontes,SamiraMota9,71
Paulinhoddlopes,jairbolsonaro,71
direitonoponto,direitonoponto,71
fortaltricolor1,jairbolsonaro,71
moacirpe2009,GeneralMourao,71
GuerreiroPatri9,SenadoFederal,71
Marilen20674578,taoquei1,71
X0NGUINHAS,38_Rosy_,71
X0NGUINHAS,RosyOliveiraAg2,71
jucarasilveira1,BrazilFight,71
ninoagf_2013,jairbolsonaro,71
crisvela78,Reguffe,71
12remanescente,YouTube,70
Lamaro2Antonio,STF_oficial,70
santanaeliane25,STF_oficial,70
DereiaSilva,STF_oficial,70
marcelopmwrp,STF_oficial,70
Gr0115gabriel,STF_oficial,70
BR100PTRALHAS,Gen_VillasBoas,70
HildaDeSouzaMa1,SocMilitar,70
jluqueiroz,STF_oficial,70
Weyllj,STF_oficial,70
LeiaRachor,davialcolumbre,70
FeioFei,STF_oficial,70
MatosSiolan,STF_oficial,70
MarcoTuite,RenovaMidia,70
rodrigosouza_75,STF_oficial,70
ORob62423345,STF_oficial,70
EvyKatz2,STF_oficial,70
rssprog,jairbolsonaro,70
amartins1960,SenadoFederal,70
SidneiBolsonaro,STF_oficial,70
X0NGUINHAS,mcruz2000,70
X0NGUINHAS,FabioSpanner,70
odenirluiz1,STF_oficial,70
GILBERTOGRANDO,STF_oficial,70
PocaMarcelo,fernandoschuler,70
FATIMAA80856038,danielPMERJ,70
Cesar3865086216,STF_oficial,70
RubemPortal,PortalDisparada,70
RubemPortal,BobjeffHD,70
RubemPortal,gilmarmendes,70
crisvela78,randolfeap,70
Claudiadabreu12,STF_oficial,69
Alexcapontes,STF_oficial,69
abmsonia,STF_oficial,69
CarlaSoaresdeC1,STF_oficial,69
fah_albi,STF_oficial,69
DalilaOliveiraR,gilmarmendes,69
